S.NO,Submitted Time,1. Name,2. select book,3. Number of quantity
327,03-08-2022,L Ravi kumar,Data science with python,1
328,03-08-2022,L Ravi kumar,Data science for dummies,1
329,03-08-2022,M Ravi kumar,Practical statistics for data scientist,1
330,03-08-2022,N Ravi kumar,Data science with python,1
331,03-08-2022,N Ravi kumar,Data science with python,1
332,03-08-2022,P Ravi kumar,Data structure and algorithm through python,1
333,03-08-2022,G Ravi kumar,Data science with python,1
334,03-08-2022,U Ravi kumar,Data science for dummies,1
335,03-08-2022,N Ravi kumar,Data science from scratch,1
336,03-08-2022,M Ravi kumar,Data science with python,1
337,03-08-2022,K Ravindra,Data science for dummies,1
338,03-08-2022,K Ravindra,Data science from scratch,1
339,03-08-2022,A Ravindra,Data science with python,1
340,03-08-2022,A Ravindra,Practical statistics for data scientist,1
341,03-08-2022,G Ravindra,Data science for dummies,1
342,03-08-2022,J Ravindra,Data science from scratch,1
343,03-08-2022,M Ravindra,The Data science handbook-Field cady,1
344,03-08-2022,N Ravindra,Practical statistics for data scientist,1
345,03-08-2022,P Ravindra,Practical statistics for data scientist,1
346,03-08-2022,U Ravindra,The Data science handbook-Field cady,1
347,03-08-2022,U Ravindra,Data science with python,1
348,03-08-2022,U Ravindra,Data science for dummies,1
349,03-08-2022,M Ravindra,Data science with python,1
350,03-08-2022,P Ravindra,Data science from scratch,1
351,03-08-2022,T Ravindra,Data science with python,1
352,03-08-2022,R Ravindra,The Data science handbook-Field cady,1
353,03-08-2022,H Ravindra,The Data science handbook-Field cady,1
354,03-08-2022,O Ravindra,Practical statistics for data scientist,1
355,03-08-2022,M Ravindra,Data science for dummies,1
356,03-08-2022,N Ravindra,The Data science handbook-Field cady,1
357,03-08-2022,A Mani,Data science from scratch,1
358,03-08-2022,A Mani,Practical statistics for data scientist,1
359,03-08-2022,B Mani,Data science for dummies,1
360,03-08-2022,C Mani,Practical statistics for data scientist,1
361,03-08-2022,D Mani,Data science from scratch,1
362,03-08-2022,H Mani,Data science for dummies,1
363,03-08-2022,H Mani,Data science with python,1
364,03-08-2022,G Mani,Data science from scratch,1
365,03-08-2022,G Mani,Data science with python,1
366,03-08-2022,H Mani,Data science with python,1
367,03-08-2022,P Mani,Practical statistics for data scientist,1
368,03-08-2022,P Mani,Data science from scratch,1
369,03-08-2022,T Mani,Data science for dummies,1
370,03-08-2022,V Mani,Data science from scratch,1
371,03-08-2022,V Mani,The Data science handbook-Field cady,1
372,03-08-2022,V Mani,Data science for dummies,1
373,03-08-2022,R Mani,The Data science handbook-Field cady,1
374,03-08-2022,R Mani,Data science for dummies,1
375,03-08-2022,I Mani,The Data science handbook-Field cady,1
376,03-08-2022,I Mani,Practical statistics for data scientist,1
377,03-08-2022,J Mani,Data science from scratch,1
378,03-08-2022,J Mani,Data science with python,1
379,03-08-2022,A Ratnakumar,Data science from scratch,1
380,03-08-2022,A Ratnakumar,Data science from scratch,1
381,03-08-2022,B Ratnakumar,Data science with python,1
382,03-08-2022,B Ratnakumar,Practical statistics for data scientist,1
383,03-08-2022,B Ratnakumar,The Data science handbook-Field cady,1
384,03-08-2022,B Ratnakumar,Practical statistics for data scientist,1
385,03-08-2022,C Ratnakumar,Data science with python,1
386,03-08-2022,C Ratnakumar,Practical statistics for data scientist,1
387,03-08-2022,D Ratnakumar,Practical statistics for data scientist,1
388,03-08-2022,D Ratnakumar,Data science with python,1
389,03-08-2022,G Ratnakumar,The Data science handbook-Field cady,1
390,03-08-2022,H Ratnakumar,Data science from scratch,1
391,03-08-2022,H Ratnakumar,Data science from scratch,1
392,03-08-2022,G Ratnakumar,Data science with python,1
393,03-08-2022,G Ratnakumar,Practical statistics for data scientist,1
394,03-08-2022,H Ratnakumar,Data science for dummies,1
395,03-08-2022,T Ratnakumar,Practical statistics for data scientist,1
396,03-08-2022,T Ratnakumar,Data science with python,1
397,03-08-2022,M Ratnakumar,Practical statistics for data scientist,1
398,03-08-2022,M Ratnakumar,Data science for dummies,1
399,03-08-2022,N Ratnakumar,Data science from scratch,1
400,03-08-2022,G Ratnakumar,Data science for dummies,1
401,03-08-2022,G Ratnakumar,Data science for dummies,1
402,03-08-2022,A Surya,Data science from scratch,1
403,03-08-2022,A Surya,Practical statistics for data scientist,1
404,03-08-2022,B Surya,Practical statistics for data scientist,1
405,03-08-2022,B Surya,Data science for dummies,1
406,03-08-2022,B Surya,Practical statistics for data scientist,1
407,03-08-2022,C Surya,Data science for dummies,1
408,03-08-2022,S Sivakumar,Data science for dummies,1
409,03-08-2022,S Sivakumar,Data science with python,1
410,03-08-2022,G Surya,The Data science handbook-Field cady,1
411,03-08-2022,G Surya,Data science for dummies,1
412,03-08-2022,G Surya,Practical statistics for data scientist,1
413,03-08-2022,J Surya,Data science from scratch,1
414,03-08-2022,J Surya,The Data science handbook-Field cady,1
415,03-08-2022,L Surya,Data science for dummies,1
416,03-08-2022,L Surya,Practical statistics for data scientist,1
417,03-08-2022,L Surya,Data science with python,1
